Product Name,Product ID,Category,How likely are you to recommend this product?,"Complete - Yes/No. If No, please provide rationale","Comments"
ASDA BASMATI RICE BASMAT 4KG,100109545,RPFF,5,Yes,"4KG was unavailable so purchased 1kg pack, more than enough! Packaging spilt and rice all over the floor. Need a better solution for resealing.  Rice itself was rice. "
ASDA LAMB KOFTA MINTED 320G,100554298,Meat,5,Yes,"5/10   Shrunk considerably when cooked ,taste good and crisped up well"
ASDA Neapolitan Choc Ice Cream Wafers 8 x 90ml (720ml),100162859,ICE CREAM,N/A,Yes,"5/10  Flavour quite bland ,not really creamy "
LITTLE ANGELS by ASDA by 60 Lightly Fragranced Baby Wipes,100129880,WIPES,5,Yes,"5/10  strength acceptable , moisture could be better"
ASDA Nut Mix 200g,100165159,NDF,5,Yes,"5/10  Walnuts ok ,cashew and almonds very soft ,tasted almost like expired date product"
ASDA DOUBLE CREAM  500ML,100161729,MILK,10 = Extremely likely,Yes,500ml Double cream could not be found online or in store so tested 600ml Double Cream (300ml & 600ml Double cream options sold in store). As expected product thick and creamy great taste and texture
ASDA Minestrone Warming Soup 400g,100110306,SOUP,8,Yes,"6 colleagues sampled this in a colleague huddle. they said the packaging looked tidy, clear to read and clearly tell what product it is, once tasted it was warm, flavourfull and delicious and the loved it, on shopfloor it wasnt easy to find as it did plend in with all the other soups."
COOK by ASDA Cook by Italian Inspired Mixed Herbs 12g,100110488,"SEASONINGS, HERBS & SPICES",N/A,Yes,"6/10  Added a good additional flavour to the dish , but could of been more pongiant"
ASDA Cream of Tomato Soup 400g,100127328,SOUP,6,Yes,6/10 A bit watery for our liking
ASDA Chocolate Chunk Cookie Mix 275g,100109819,BAKING,6,Yes,6/10 packet could be bigger as when bake for kids you always need more  
JE TOMATOES CHERRY 250G,100169001,WH SALADS,6,Yes,"6/10 they are nice,but not as juicy as the exceptionals "
ASDA TUNA CHUNKS SFO 4X145G,100126169,CANNED FISH,7,Yes,7 out of 10 colleagues preferred the taste to John west alternative and would recommend 
ASDA 5 Slices Oven Baked Dry Cured Ham 120g,100394403,COOKED MEATS & PATE,7,Yes,"7/10    Good taste not too salty , flavour came through well"
ASDA Nutty & Earthy Chestnut Mushrooms 250g,100393812,VEGETABLES,7,Yes,"7/10   Very clean unlike other lines ,makes easy to prep for cooking ."
ASDA Chocolate Mousses 6 x 55g (330g),100540480,YOGURT,7,Yes,7/10 nothing special it is what it is 
ASDA 4 Boil in Bag Long Grain White Rice 4 x 125g (500g),100121281,RPFF,7,Yes,7/10 they said it was difficult to give verdict on this as it depends on how you cook it 
ASDA 50% Fruit White Grape & Peach High Juice 1 Litre,100112018,SQUASH,8,Yes,"8 collagues sampled this and the results where that you could clearly taste the peach with an after taste of grape, it was really refreshing, did not need a large amount either. Very attractive packaging, clear information and it stood out against others. The main problem was it was not easy to find on the shelve as the packaging was hidden behind the anti gravity kit. overall rating 8/10"
ASDA Apple & Strawberry Squash 1.5 Litres,100156570,SQUASH,6,Yes,"8 colleagues sampled this and the results were the taste was very sweet, you didnt need much squash as it is very strong, can taste the fruits clearly. packaging was functional but the double concentration needs to be bolder and clearer. easy to find on shopfloor."
ASDA Toffee Layered Mousse 100g,100169793,YOGURT,10 = Extremely likely,Yes,"8 colleagues sampled this and the results where that you could immeditately smell the toffee and the taste was amazing with loads of toffee flavour, it was layered beaitifully. the packaging was basic but functional and the product sold itself as it looked amazing. easy to find on the shelf, very visable and clearly put in the bay it should be in. overall rating 10/10"
ASDA Ground Almonds 150g,100140532,DRIED FRUIT & NUTS,8,Yes,"8 colleagues sampled this product and the results were that the almonds tasted clearly of almonds, the packaging was standard, didnt stand out from the others, but otherwise clearly discribed what it was. wasnt easy to find as they all look the same packaging."
The BAKERY at ASDA Syrup Sponge Puddings 2 x 105g (210g),100017083,CAKES,8,Yes,"8 colleaguues sampled this product the results were that the taste was amazing, clearly could taste the syrup and the sponge was soft and light. the packaging was boring and standard, the cellophane on the lif was awful and weak. its easy to find on shopfloor with the bright yellow design. "
BAKE by ASDA BAKE by 100 Pastel Paper Cupcake Cases,100139483,BAKING,8,Yes,"8/10   durable and held the mixture well ,shape remained through cooking process"
ASDA Caramel Nougat Bars 6 x 38g (228g),100153147,MULTIPACKS,8,Yes,"8/10  Good thickness of chocolate and tasted better than branded ,caramel very smooth"
ASDA Berry Granola 500g,100124412,I-CEREALS,8,Yes,"8/10 ,was better than expected "
Exceptional by ASDA Delicate & Flavoursome 2 Scottish Salmon Fillets 240g,100174395,FISH,N/A,No - Other (provide comments),8/10 based on packing and price. Delivered short coded on Weds 29th July out of date 31st July unable to test. 
EX Bearnaise Sauce 180g,100551979,DUCK & FRESH ACCOMPS,N/A,No - Other (provide comments),8/10 based on packing and price. Delivered short on Weds 29th July out of date 31st July unable to test. 
ASDA SELECTION INDIAN 390G,100171848,XMAS,8,Yes,8/10 colleagues enjoyed and would recommed to buy 
Exceptional by ASDA Exceptional by Mixed Nut Granola 500g,100126326,I-CEREALS,5,Yes,"9 collagues sampled this and the results were that is was easy to find on shopfloor, the packaging is very dark and does not stand out. you can taste each individual item which was good but we ould say it is not an exceptional taste and it just didnt feel exceptional."
ASDA Pomegranate,100166081,FRUIT,7,Yes,"9 colleagues sampled this product the results were it looked okay, hard to get the pomegranate seeds out but was easy to find on shopfloor, it tasted ok but nothing special. overall 7 out of 10"
EX PASSATA STOMBA 430G,100520663,CAN VEGETABLES,9,Yes,9/10 colleagues preferred the taste in comparison to Asda Passata 
The BAKERY at ASDA The Bakery 4 Garlic & Herb Flamebaked Folded Flatbreads 300g,100001878,BAKERY OCCASIONS,9,Yes,9/10 colleagues would recommend - enjoyed the taste. 
The BAKERY at ASDA The Bakery 6 Fluffy Victoria Sponge Cakes,100000494,CAKES,9,Yes,"9/10 loved them,light and fluffy and melt in mouth,moist and not too dry  "
ASDA Salt & Vinegar Flavour Staks 165g,100559495,CRISPS & SNACKS,9,Yes,9/10 very close to pringles taste 
The BAKERY at ASDA The Bakery Farmhouse White 440g,100002124,BREAD,0 - Not at all likely,Yes,93p is a ridiculous price for a small loaf (larger 800g equivalent from Sainsburys is 89p). Bread itself is dry and crumbly
JUST ESSENTIALS by ASDA Just Essentials Batter Mix 125g,100134971,BAKING,10 = Extremely likely,Yes,"A basic batter mix, followed the instructions to make pancakes and they came out perfectly.  Very conveinient and good value for money. I think pack design could be improved to show on the front of pack that it can be used to make make pancakes as well as yorkshire puddings."
ASDA WE LAMB RUMP  300G,100160521,LAMB,9,Yes,"A big thumbs up, preferred this over our usual version. I would probably have chosen a leaner cut than the one that was picked for my online order"
ASDA Creamy Tomato & Mascarpone Sauce 350g,100169228,PASTA SAUCE,6,Yes,A bit bland but good for a quick meal
ASDA Bacon Grill 250g,100127223,CAN MEATS,7,Yes,a bit bland vs spam
ASDA Cheese & Tomato Sandwich,100394044,MAIN,6,Yes,a bit dry
ASDA Dates 500g,100332601,DRIED FRUIT & NUTS,6,Yes,A Bit dry - but don't expect much more for the price point / v's their competitors. I did put them with some almond butter in between 2 gingerbread biscuits which made them taste even better!
The BAKERY at ASDA The Bakery Yummy Jam Roly Poly 465g,100000115,CAKES,5,Yes,"a bit dry compared to other Jam Roly Poly i have tried from morrisons, jam was very sweet too."
ASDA Free From Free From by Giant Choc Buttons 119g,100123538,FREE FROM,4,Yes,a bit flavourless and didn't stand out amongst other free from product
ASDA Chunky Minted Lamb Soup 400g,100110325,SOUP,7,Yes,A bit minty and the potatoes were a bit hard but other than that a nice soup overall
ASDA Raspberries in Light Syrup 300g,100112829,CANNED FRUIT,7,Yes,A bit mushy but would be fine to use in a trifle
Asda Sandwich CHKPAR EACH,100552879,MAIN,5,Yes,"A bit of a Peppery taste,Chicken was dry and cheese was a bit rubbery the majority felt "
ASDA Still Orange & Peach Flavour Water 1 Litre,100153729,BOTTLED WATER,5,Yes,"A bit saccarine for my taste but kids enjoyed it, Only challenge on packaging - would be contrast on the product name against the background. From an accessibility point of view, low contrast text is hard to read."
ASDA 10 Slices Oven Baked Dry Cured Ham 250g,100171350,COOKED MEATS & PATE,8,Yes,"A bit salty but tasty, samplers went back for 2nd helpings!"
ASDA Southern Fried Chicken Bites 70g,100170524,MEAT MISC,6,Yes,"a bit salty in taste , rubbery not as nice as fridge raiders , packaging was a copy of FR"
ASDA Coleslaw 300g,100164480,WH SALADS,7,Yes,"a bit soggy, not crunchy enough"
The BAKERY at ASDA 6 Iced Finger Buns,100001451,CAKES,6,Yes,A bit stale which is disappointing as this is a simple product
ASDA LEMON SQUARE  MERING 2PK,100509490,CAKES,7,Yes,A bit sweet but still a nice treat with a cup of Tea
ASDA Chicken Flavour Instant Noodles 85g,100110410,SNACKS,6,Yes,A bit tastless and watery
ASDA 15% Fat Beef Mince 500g,100393829,BEEF,5,Yes,A bit to fatty forour taste 
JUST ESSENTIALS by ASDA Kiwis 6 pack,100168998,FRUIT,5,Yes,"A bit too crunchy, under ripe and very tarte. "
ASDA CRUMPETS NOVELT 4PK,100002942,BAKERY OCCASIONS,7,Yes,A bit tough in terms of texture but tasted nice
